                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3964,                 3.3863,                 1.6177,                0.01008,                0.65357,                0.05599,                0.03581,                 1.0863,                 3.7431,                 1.4137,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 1.2966,                 3.1164,                  1.586,                0.04171,                0.70714,                0.37609,                0.24804,                 1.0949,                 3.6802,                 1.3864,             0.00016218,             0.00016218,             0.00016218
                      3,                 1.2623,                  2.531,                 1.5538,                0.02712,                0.82143,                 0.3996,                0.24029,                 1.1972,                 3.4363,                 1.5167,             0.00024901,             0.00024901,             0.00024901
                      4,                 1.2172,                 2.0892,                 1.4893,                      1,                0.08802,                0.44576,                0.25422,                 1.2027,                  3.275,                 1.5065,              0.0003355,              0.0003355,              0.0003355
                      5,                 1.2461,                 1.9431,                 1.5251,                0.94146,                  0.075,                0.45456,                0.22524,                 1.1965,                 3.3032,                 1.5345,             0.00042163,             0.00042163,             0.00042163
                      6,                 1.2611,                 1.8244,                  1.532,                0.96535,                  0.225,                 0.3688,                0.23563,                 1.3318,                 2.8011,                 1.6042,             0.00050743,             0.00050743,             0.00050743
                      7,                 1.1875,                 1.7114,                  1.515,                0.75446,                0.47164,                0.57087,                 0.3244,                 1.4708,                 2.9529,                 1.6629,             0.00059287,             0.00059287,             0.00059287
                      8,                 1.2327,                 1.6165,                 1.4479,                0.82376,                0.41752,                0.54217,                0.25523,                 1.4938,                 3.0789,                 1.8302,             0.00067797,             0.00067797,             0.00067797
                      9,                 1.2012,                 1.6021,                 1.4713,                0.67137,                0.42704,                0.35978,                0.18214,                 1.5251,                 2.7834,                 1.8886,             0.00076272,             0.00076272,             0.00076272
                     10,                 1.1853,                  1.523,                  1.451,                0.87268,                0.46894,                0.58342,                0.33493,                 1.5416,                 2.4039,                 1.8377,             0.00084713,             0.00084713,             0.00084713
                     11,                 1.1717,                 1.4843,                 1.4361,                0.90909,                0.49706,                0.68712,                0.41306,                 1.5487,                 2.1654,                 1.8434,             0.00093119,             0.00093119,             0.00093119
                     12,                  1.159,                 1.4181,                   1.43,                0.45635,                0.53628,                0.38887,                   0.23,                 1.5015,                 2.5536,                 1.8039,              0.0010149,              0.0010149,              0.0010149
                     13,                 1.1292,                 1.4341,                 1.4283,                0.26349,                0.53571,                0.49836,                0.23756,                 1.4727,                 2.6825,                 1.7709,              0.0010983,              0.0010983,              0.0010983
                     14,                 1.2549,                 1.5366,                  1.493,                   0.45,                0.65263,                0.64803,                0.31281,                 1.5646,                 2.7332,                 1.8564,              0.0011813,              0.0011813,              0.0011813
                     15,                 1.1815,                 1.4776,                 1.4541,                0.64002,                0.58659,                0.74637,                0.33902,                 1.4891,                  3.256,                 1.9179,              0.0012154,              0.0012154,              0.0012154
                     16,                 1.1366,                 1.4182,                  1.459,                 0.5123,                0.54711,                0.58137,                0.32073,                 1.4353,                 2.6804,                 1.7221,              0.0012154,              0.0012154,              0.0012154
                     17,                 1.2041,                 1.4208,                 1.4727,                0.39351,                0.69215,                0.50446,                0.26306,                 1.5566,                 2.8279,                 1.8258,              0.0012129,              0.0012129,              0.0012129
                     18,                 1.2028,                 1.4725,                 1.4716,                0.36557,                0.61026,                 0.5103,                0.26716,                  1.623,                  2.768,                  1.967,              0.0012104,              0.0012104,              0.0012104
                     19,                 1.2113,                 1.3694,                 1.4556,                0.35048,                0.69121,                0.48459,                0.20734,                 1.6356,                 2.8761,                 2.0985,              0.0012079,              0.0012079,              0.0012079
                     20,                 1.1922,                 1.3637,                 1.4181,                 0.5008,                0.74205,                0.58556,                0.27291,                 1.7685,                  2.358,                 2.1613,              0.0012055,              0.0012055,              0.0012055
                     21,                 1.1639,                 1.3274,                 1.3958,                0.52905,                0.69286,                0.59869,                0.31176,                 1.6775,                 2.1988,                 1.9617,               0.001203,               0.001203,               0.001203
                     22,                 1.1575,                 1.3142,                 1.4496,                0.39372,                0.76786,                0.51841,                0.24984,                 1.8184,                 2.3539,                 2.1151,              0.0012005,              0.0012005,              0.0012005
                     23,                 1.1512,                 1.2717,                 1.4407,                0.45546,                0.57634,                0.46989,                0.17827,                 2.0839,                 3.2978,                 2.2591,               0.001198,               0.001198,               0.001198
                     24,                 1.1078,                 1.2941,                 1.4435,                0.45233,                0.78929,                0.67641,                0.37351,                 1.5974,                 2.3993,                 1.8661,              0.0011955,              0.0011955,              0.0011955
                     25,                 1.1186,                 1.2329,                 1.3707,                 0.7212,                0.63799,                0.74598,                0.34873,                 1.5119,                 2.0683,                 1.8002,              0.0011931,              0.0011931,              0.0011931
                     26,                 1.1016,                 1.2072,                 1.3751,                0.38744,                0.67741,                0.55038,                0.27779,                 1.6163,                 2.3478,                 1.9388,              0.0011906,              0.0011906,              0.0011906
                     27,                  1.127,                 1.2628,                 1.4424,                0.52694,                0.91277,                0.80888,                0.40775,                 1.6632,                 1.8671,                 1.9398,              0.0011881,              0.0011881,              0.0011881
                     28,                 1.1007,                 1.2416,                 1.3654,                0.50292,                0.82755,                0.73222,                0.34923,                 1.9751,                 2.4063,                 2.1513,              0.0011856,              0.0011856,              0.0011856
                     29,                 1.2177,                 1.2812,                 1.4658,                0.46248,                0.71603,                0.61931,                 0.2934,                  1.892,                 2.3635,                  2.052,              0.0011832,              0.0011832,              0.0011832
                     30,                 1.0729,                 1.2761,                 1.3975,                0.64125,                0.55427,                 0.6734,                0.34139,                 1.7058,                 2.1757,                 1.8897,              0.0011807,              0.0011807,              0.0011807
                     31,                 1.1339,                 1.3055,                 1.4453,                0.78374,                0.80714,                0.86046,                0.47713,                 1.7204,                 1.9545,                 1.9423,              0.0011782,              0.0011782,              0.0011782
                     32,                 1.1372,                 1.2287,                  1.371,                0.48868,                0.74969,                0.64642,                0.35128,                 1.6339,                 2.0837,                 1.8464,              0.0011757,              0.0011757,              0.0011757
                     33,                  1.076,                 1.1891,                   1.39,                0.56856,                0.61941,                0.61868,                0.33479,                 1.5531,                 1.9845,                 1.7836,              0.0011733,              0.0011733,              0.0011733
                     34,                 1.0821,                 1.1822,                 1.3837,                0.61467,                0.78843,                 0.6672,                 0.3409,                 1.5483,                 1.9982,                 1.8015,              0.0011708,              0.0011708,              0.0011708
                     35,                 1.1463,                 1.1819,                 1.3945,                0.64532,                0.81435,                 0.7678,                0.40385,                 1.5605,                 1.8381,                  1.879,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.1431,                 1.1979,                 1.3844,                0.66819,                0.89158,                0.76986,                0.41373,                 1.5638,                 1.7727,                 1.7221,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.0632,                 1.1584,                 1.4088,                 0.6204,                0.71744,                0.67755,                0.41519,                 1.3254,                 1.7272,                 1.5027,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.1162,                 1.2106,                 1.4128,                0.63046,                0.82188,                0.67815,                0.42077,                 1.2567,                 1.5771,                 1.5967,              0.0011609,              0.0011609,              0.0011609
                     39,                  1.027,                 1.0711,                 1.3304,                0.58933,                0.76596,                0.67598,                0.42831,                 1.2724,                 1.7173,                 1.5546,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.0276,                   1.12,                 1.3797,                0.59813,                0.77069,                0.62384,                  0.377,                 1.4536,                 1.5227,                 1.6285,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.0378,                 1.1737,                 1.3614,                0.64326,                0.77361,                0.63555,                0.39525,                 1.3957,                 1.5602,                 1.5851,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.0906,                 1.1064,                 1.3626,                0.67944,                0.72857,                  0.678,                0.37995,                 1.5128,                 1.6988,                 1.6924,               0.001151,               0.001151,               0.001151
                     43,                 1.0548,                 1.0922,                  1.318,                0.59054,                  0.918,                0.72701,                0.40485,                 1.4224,                 1.7439,                  1.742,              0.0011485,              0.0011485,              0.0011485
                     44,                 1.0153,                 1.1238,                  1.332,                0.55036,                0.74186,                0.80488,                0.47462,                 1.4475,                 1.7204,                 1.7896,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.0237,                 1.0115,                 1.2868,                0.79128,                0.72976,                  0.881,                0.47706,                  1.523,                 1.7806,                 1.8695,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.0369,                 1.0847,                  1.318,                 0.6953,                 0.9524,                 0.8444,                0.42626,                 1.6194,                 1.5443,                 1.9661,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.0177,                 1.0933,                 1.3462,                 0.7766,                 0.8991,                0.83282,                0.43914,                  1.241,                 1.2426,                  1.624,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.0433,                 1.0755,                 1.3577,                0.52034,                0.98599,                0.70104,                0.38758,                 1.2717,                 1.4609,                 1.6139,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.0383,                 1.0412,                 1.3379,                0.49065,                0.92467,                0.67971,                0.36673,                 1.4701,                 1.5754,                 1.7422,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.0279,                   1.03,                 1.3353,                0.57827,                0.87823,                 0.7206,                0.38105,                 1.4736,                 1.8455,                 1.7292,              0.0011312,              0.0011312,              0.0011312
                     51,                0.99374,                  1.042,                  1.304,                0.74391,                0.74038,                0.74468,                0.45001,                 1.3795,                 1.7996,                 1.5649,              0.0011287,              0.0011287,              0.0011287
                     52,                0.95364,                 1.0117,                 1.3206,                0.61814,                0.87647,                 0.6955,                 0.3892,                 1.3947,                 1.6317,                 1.5539,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.0108,                 1.0563,                 1.3026,                 0.5883,                0.94509,                 0.7729,                0.44984,                 1.3176,                 1.5292,                 1.5106,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.0466,                 1.0017,                 1.3254,                0.63618,                0.92857,                0.83958,                0.43072,                 1.3932,                 1.5052,                 1.6208,              0.0011213,              0.0011213,              0.0011213
